Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),,MAF,km3,,
Johnsonville                                                     ,,,NY00119,,NY00119,"Erie Boulevard Hydropower, L.P.",Private,Private,1,No,,No,Hydroelectric,Hydroelectric,Federal Energy Regulatory Commission,02616-02-01,42.9197,-73.5084,New York,Rensselaer,Johnsonville                                      ,1,Hoosic River                  ,"New York, Congressional District 21",No,Yes,,No,Yes,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Concrete,Concrete;Gravity,Concrete,Rock,39,,,39,25-50 feet,529,,1909,1900-1909,,6430,6430,6430,450,,,,,
Grouse Creek South,,,ID00463,,ID00463,,Private,Private,0,No,,No,Tailings,Tailings,Idaho,72-7511A1,44.4242,-114.735,Idaho,Custer,CLAYTON,15, UNNAMED STREAM  JORDAN CREEK,"Idaho, Congressional District 02",Yes,Yes,IDWR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,,Earth,Earth,Rock;Soil,300,300,,300,Greater than 100 feet,1400,,1994,1990-1999,,6428,,6428,135,,,,,
Valley Acres Reservoir,,,TX05975,,TX05975,VALLEY ACRES WATER DISTRICT,Local Government,Local Government,0,No,NO DATA FOR ORIGINAL DESIGNER,No,Irrigation,Irrigation,Texas,TX05975,26.249285,-97.893071,Texas,Hidalgo,MERCEDES,2,OFF CH-NORTH FLOODWAY,"Texas, Congressional District 34",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,7,7,7,7,Less than 25 feet,29188,,1951,1950-1959,,6422,6422,1612,906,,,,,
Lake Coldwater,Lake Coldwater Dam,,KS02465,,KS02465,"COLDWATER, CITY OF",Local Government,Local Government,0,No,USDA NRCS,No,Recreation,Recreation;Flood Risk Reduction,Kansas,DCM-0035,37.243045,-99.349693,Kansas,Comanche,PROTECTION,7,CAVALRY CREEK-TR,"Kansas, Congressional District 04",Yes,Yes,KS Dept. of Agriculture,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,1962 Resource Conservation and Development Act (Public Law 87-703),Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,38,42,57,57,51-100 feet,3860,469200,1974,1970-1979,,6420,6420,2490.09,250.72,,,,,
South Fourche Lafave Wid Site 3,,0,AR01510,,AR01510,FOURCHE LA FAVE WATERSHED IMPROVEMENT DISTRICT,Local Government,Local Government,0,No,USDA NRCS,Yes,Flood Risk Reduction,Flood Risk Reduction,Arkansas,,34.84972222,-93.09944444,Arkansas,Perry,NONE,,LITTLE BEAR CREEK,"Arkansas, Congressional District 02",Yes,Yes,ANRC,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,Earth,,105,,,105,Greater than 100 feet,1175,0,1981,1980-1989,,6415,6415,551,36,,,,,
Forrest Ingram Dam,,,AL00975,,AL00975,FORREST INGRAM POULTRY,Private,Private,0,No,,No,Recreation,Recreation;Water Supply,Alabama,,34.15,-86.76,Alabama,Cullman,WELTI WEST,0,BRINDLEY CREEK,"Alabama, Congressional District 04",No,No,,No,No,No,No,,,,,,,,,No,N/A,Rockfill,Rockfill;Earth,,,,85,95,95,51-100 feet,1325,0,1968,1960-1969,,6413,6413,4675,,,,,,
Turkey Pond Dam,,,NH00361,,NH00361,ST PAULS SCHOOL,Private,Private,0,No,,,Recreation,Recreation,New Hampshire,D051025,43.193194,-71.588962,New Hampshire,Merrimack,CONCORD,,TURKEY RIVER,"New Hampshire, Congressional District 02",Yes,Yes,NH DES,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete,,,15,,,15,Less than 25 feet,100,,1958,1950-1959,,6410,6410,765,360,,,,,
Big Creek Wid Site 02,Frierson,0,AR00437,,AR00437,ARKANSAS GAME AND FISH COMMISSION,State,State,0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction;Recreation,Arkansas,,35.97055556,-90.72333333,Arkansas,Greene,STERLING SPRINGS,,BIG CREEK WID,"Arkansas, Congressional District 01",Yes,Yes,ANRC,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,,35,23,36,36,25-50 feet,2050,0,1974,1970-1979,,6404,6404,2570,335,,,,,
Possum Point Ash Dam #D,,,VA153020,,VA153020,Virginia Electric and Power Company,Public Utility,Public Utility,0,No,,,Debris Control,Debris Control,Virginia,153020,38.5483,-77.2851,Virginia,Prince William,,0,Off Stream,"Virginia, Congressional District 07",Yes,Yes,Department of Conservation and Recreation,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,140,,,140,Greater than 100 feet,1700,,,Undetermined,,6400,6400,5500,104,,,,,
Huntington,,,UT00144,,UT00144,HUNTINGTON-CLEVELAND IRRIGATION COMPANY,Private,Private,0,No,,,Irrigation,Irrigation,Utah,UT00144,39.58684894,-111.2623977,Utah,Sanpete,HUNTINGTON,23,SPRING CREEK,"Utah, Congressional District 04",Yes,Yes,Utah Division of Water Rights,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,50,55,55,51-100 feet,1600,,1949,1940-1949,,6400,6400,5616,,,,,,
Green Canyon Dam,S.G.J.C. Site 1a,Green Cnayon Site No. 1a Dam,NM00232,,NM00232,CABALLO SOIL & WATER CONSERVATION DISTRICT,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction,New Mexico,D-232,32.80746,-107.27861,New Mexico,Sierra,UNINCORPORATED RESIDENTS,,RIO GRANDE - TR,"New Mexico, Congressional District 02",Yes,Yes,OFFICE OF THE STATE ENGINEER,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,,Soil,89,69,104,104,Greater than 100 feet,1850,0,1972,1970-1979,,6400,6400,0,,,,,,
Yellowstone,Yellowstone Lake State Park,,WI00071,,WI00071,Wisconsin Department of Natural Resources,State,State,0,No,,,Recreation,Recreation,Wisconsin,72,42.7572054,-89.9575271,Wisconsin,Lafayette,ARGYLE,7,,"Wisconsin, Congressional District 02",Yes,Yes,WIDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Gravity,Gravity;Earth,,,32,21,32,32,25-50 feet,1370,,1953,1950-1959,,6400,6400,2730,455,,,,,
Berrien Springs Dam,,,MI00538,,MI00538,American Electric Power,Private,Private,0,No,,No,Hydroelectric,Hydroelectric,Michigan,,41.945,-86.32833333,Michigan,Berrien,Berrien Springs,0,Saint Joseph River,"Michigan, Congressional District 05",Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Gravity,Gravity;Earth,,,36,32,36,36,25-50 feet,1425,0,1908,1900-1909,,6400,6400,5500,600,,,,,
Lake St George,Lake St George,Davistown,ME00251,,ME00251,Liberty,Local Government,Local Government,0,No,,No,Hydroelectric,Hydroelectric;Recreation,Maine,400,44.395217,-69.311403,Maine,Waldo,,,St. George,"Maine, Congressional District 02",Yes,Yes,MEMA,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Stone,Stone;Rockfill;Gravity,,,15,11,15,15,Less than 25 feet,80,,1820,Before 1900,,6400,6400,5750,1095,,,,,
Fmcp Cooling Pond Cell A,,Fmcp Cooling Pond,FL13334,,FL13334,THE MOSAIC COMPANY,Private,Private,0,No,UNKNOWN,No,Tailings,Tailings,Florida,FL13334,27.7321,-81.849602,Florida,Polk,FORT MEADE,0,MCCULLOUGH CREEK,"Florida, Congressional District 18",Yes,Yes,FDEP,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,140,100,145,145,Greater than 100 feet,7613,11053000,1978,1970-1979,2001,6400,6400,6000,80,,,,,
Sun River Diversion,Diversion Lake,,MT00585,,MT00585,RECLAMATION,Federal,Federal,0,No,,No,Irrigation,Irrigation,Bureau of Reclamation,,47.6211,-112.7067,Montana,Teton,SIMMS,47,NORTH FORK SUN RIVER,"Montana, Congressional District 02",No,No,,No,No,No,Yes,Bureau of Reclamation,Bureau of Reclamation,,,Bureau of Reclamation,Bureau of Reclamation,Bureau of Reclamation,,No,N/A,Concrete,Concrete;Arch;Gravity,,Rock,132,114,132,132,Greater than 100 feet,261,6500,1914,1910-1919,,6395,6395,6395,202,,,,,
Miller Flat,,,UT00210,,UT00210,HUNTINGTON-CLEVELAND IRRIGATION COMPANY,Private,Private,0,No,,,Irrigation,Irrigation,Utah,UT00210,39.54184898,-111.2423964,Utah,Emery,HUNTINGTON,24,MILLER FLAT CREEK,"Utah, Congressional District 03",Yes,Yes,Utah Division of Water Rights,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,68,73,73,51-100 feet,835,,1949,1940-1949,,6393,6393,5560,,,,,,
Shabbona Lake Dam,Shabbona Lake,,IL01202,,IL01202,ILLINOIS DEPARTMENT OF NATURAL RESOURCES,State,State,0,No,ARCHITECTURAL & ENGINEERING SERVICE,No,Other,Other;Recreation,Illinois,,41.73792,-88.85644,Illinois,DeKalb,SHABBONA GROVE,1,INDIAN CREEK,"Illinois, Congressional District 14",Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,56,,,56,51-100 feet,2570,0,1974,1970-1979,,6387,6387,4275,,,,,,
Seney M-2 Pool Dam ,,,MI00636,,MI00636,US FISH AND WILDLIFE SERVICE,Federal,Federal,0,No,USDA Bureau of Agricultural Engineering,No,Fish and Wildlife Pond,Fish and Wildlife Pond,Fish and Wildlife Service,MI00636,46.240833,-86.003609,Michigan,Schoolcraft,,,SAND CREEK,"Michigan, Congressional District 01",Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,Soil,16,10,13,16,Less than 25 feet,25050,,1939,1930-1939,1978S,6380,6380,45,65,,,,,
Box Elder Creek Dam,Bolster,,MT00934,,MT00934,CITY OF PLENTYWOOD,Local Government,Local Government,0,No,USDA NRCS,No,Recreation,Recreation;Flood Risk Reduction,Montana,40R -P-000675-0,48.786378,-104.554649,Montana,Sheridan,PLENTYWOOD,1,BOX ELDER CREEK,"Montana, Congressional District 02",Yes,Yes,DNRC,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,Earth,Rock;Soil,63,60,80,80,51-100 feet,1800,440680,1963,1960-1969,,6378,6378,1252,100,,,,,
Concow,,,CA00277,,CA00277,Thermalito Water and Sewer District,Public Utility,Public Utility,0,No,,No,Water Supply,Water Supply;Irrigation;Hydroelectric,California,67,39.7636,-121.5281,California,Butte,Concow,2,Concow Creek,"California, Congressional District 01",Yes,Yes,"DWR, Division of Safety of Dams",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Arch,Arch,,,94,92,,94,51-100 feet,335,,1925,1920-1929,,6370,6370,,280,,,,,
Home Creek WS SCS Site 7a Dam,,,TX02181,,TX02181,CENTRAL COLORADO SWCD;COLEMAN COUNTY,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,"Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond;Fish and Wildlife Pond;Recreation",Texas,TX02181,31.717532,-99.415827,Texas,Coleman,,,LOSS CREEK,"Texas, Congressional District 11",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,,,48,48,48,48,25-50 feet,3396,288910,1970,1970-1979,,6367,6367,401,0,,,,,
Wakely Dam,Cedar River Flow,,NY00157,,NY00157,NYS DEC DIVISION OF LANDS & FORESTS,State,State,0,No,,No,Recreation,Recreation,New York,170-0789,43.72611111,-74.47305556,New York,Hamilton,Indian Lake,14,CEDAR RIVER,"New York, Congressional District 21",Yes,Yes,NYS DEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Earth,,,15,,,15,Less than 25 feet,133,,1967,1960-1969,,6363,6363,2907,602,,,,,
Wanaksink Lake Dam,Lords Reservoir,,NY00330,,NY00330,"WANAKSINK LAKE CLUB, INC.",Private,Private,0,No,,No,Recreation,Recreation,New York,163-0195,41.62416667,-74.5775,New York,Sullivan,Glen Wild,2,FOWLWOOD BROOK,"New York, Congressional District 19",Yes,Yes,NYS DEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,22,,,22,Less than 25 feet,420,,1852,Before 1900,,6360,6360,3000,325,,,,,
Bent Tree Lake Dam,Lake Tamarack Dam,,GA00688,,GA00688,"Bent Tree Community, Inc.",Private,Private,0,No,LAW ENGINEERING,No,Recreation,Recreation,Georgia,112-008-00375,34.4885,-84.37414,Georgia,Pickens,JASPER,,LONG SWAMP CREEK,"Georgia, Congressional District 11",Yes,Yes,GA-SAFE DAMS PROGRAM,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,112,,,112,Greater than 100 feet,965,,1973,1970-1979,,6356,6356,3600,92,,,,,
Lake George Dam,Lake George,,IL00136,,IL00136,ROCK ISLAND COUNTY FOREST PRESERVE DIST.,Local Government,Local Government,0,No,BELING CONSULTANTS,No,Recreation,Recreation,Illinois,,41.43438,-90.83297,Illinois,Rock Island,"FAIRPORT, IA",4,BIG BRANCH CREEK,"Illinois, Congressional District 17",Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,78,,,78,51-100 feet,1090,0,1962,1960-1969,,6355,6355,4014,167,,,,,
Lake Pushmataha,,,MS02442,,MS02442,BIA,Federal,Federal,0,No,,No,Recreation,Recreation,Bureau of Indian Affairs,,32.800658,-89.800658,Mississippi,Madison,EDINBURGH,6.6,JONES CREEK,"Mississippi, Congressional District 02",Yes,Yes,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,Yes,Yes,Yes,Yes,Bureau of Indian Affairs,Bureau of Indian Affairs,Bureau of Indian Affairs,Bureau of Indian Affairs,Bureau of Indian Affairs,Bureau of Indian Affairs,Bureau of Indian Affairs,Bureau of Indian Affairs,No,N/A,Earth,Earth,Earth,Soil,56,47,,56,51-100 feet,1900,0,2002,Since 2000,,6353,6353,4633,240,,,,,
East Branch Flood Control Dam,East Branch Reservoir,,CT00498,,CT00498,Connecticut DEEP,State,State,0,No,,No,Flood Risk Reduction,Flood Risk Reduction,Connecticut,14322,41.835774,-73.12027,Connecticut,Litchfield,TORRRINGTON,0,EAST BR NAUGATUCK RIVER,"Connecticut, Congressional District 01",Yes,Yes,DEEP,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Masonry,,,92,,,92,51-100 feet,700,,,Undetermined,,6350,,6350,1,,,,,
Taum Sauk Ps Lower                                               ,,,MO30041,,MO30041,Union Electric Company,Public Utility,Public Utility,1,No,SVERDRUP & PARCEL ENGR CO,No,Hydroelectric,Hydroelectric;Recreation,Federal Energy Regulatory Commission,02277-02-01,37.4833,-90.8333,Missouri,Reynolds,Lesterville                                       ,3,East Fork Black River         ,"Missouri, Congressional District 08",No,No,,No,No,No,Yes,,,,,Federal Energy Regulatory Commission,Federal Energy Regulatory Commission,,,No,N/A,Gravity,Gravity,Concrete,Rock,60,,,60,51-100 feet,390,,1963,1960-1969,,6350,6350,6350,400,,,,,
Paluxy River WS SCS Site 21 Dam,,,TX05136,,TX05136,CROSS TIMBERS SWCD;ERATH COUNTY,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction;Irrigation,Texas,TX05136,32.188066,-97.960556,Texas,Erath,,,LALLAH BRANCH,"Texas, Congressional District 25",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,Earth,Rock;Soil,73,73,73,73,51-100 feet,1650,449061,1982,1980-1989,,6348,6348,517,56,,,,,
Frd No 21,,,KS07487,,KS07487,WET WALNUT CREEK WJD NO 58,Local Government,Local Government,,No,UNKNOWN,No,Flood Risk Reduction,Flood Risk Reduction,Kansas,DRH-0060,38.447395,-99.608904,Kansas,Ness,,,,"Kansas, Congressional District 01",No,No,KS Dept. of Agriculture,No,No,No,No,,,,,,,,,No,,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,23,,,23,Less than 25 feet,,,,Undetermined,,6348,6348,109,66,,,,,
Hobart,Rocky Lake,Rocky Lake,OK10494,,OK10494,CITY OF HOBART,Local Government,Local Government,0,No,W.R. HOLWAY,No,Water Supply,Water Supply,Oklahoma,,35.167298,-99.076691,Oklahoma,Washita,ROCKY,1,LITTLE ELK CREEK,"Oklahoma, Congressional District 03",Yes,Yes,OWRB,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,29,29,29,29,25-50 feet,1950,0,1933,1930-1939,,6340,6340,4210,347,,,,,
Texas Basin,Succor Creek Reservoir,,ID00375,,ID00375,,Private,Private,0,No,AandE,No,Irrigation,Irrigation,Idaho,57-7153,43.1805,-116.972,Idaho,Owyhee,US HWY 95,4, SUCCOR CREEK  SNAKE RIVER,"Idaho, Congressional District 01",Yes,Yes,IDWR,Yes,Yes,Yes,No,,,Natural Resources Conservation Service;Rural Housing Service,,,,,,No,N/A,,Earth,Earth,Rock;Soil,121,109,,121,Greater than 100 feet,380,,1979,1970-1979,,6340,,6340,190,,,,,
Loch Erin Dam,,,MI00441,,MI00441,Michigan National Bank,Private,Private,0,No,,No,Recreation,Recreation,Michigan,,42.01166667,-84.15,Michigan,Lenawee,Adrian,18,Wolf Creek,"Michigan, Congressional District 05",Yes,Yes,MICHIGAN DEGLE,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,18,15,18,18,Less than 25 feet,3970,0,1971,1970-1979,,6336,6336,4665,622,,,,,
Jim Ned Creek WS SCS Site 12 Dam,,,TX02159,,TX02159,CENTRAL COLORADO SWCD;COLEMAN COUNTY,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,"Flood Risk Reduction;Fire Protection, Stock, Or Small Fish Pond;Irrigation;Recreation",Texas,TX02159,32.073312,-99.573907,Texas,Coleman,,,CLEAR CREEK,"Texas, Congressional District 11",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,,,84,84,84,84,51-100 feet,1900,399030,1963,1960-1969,,6334,6334,143,0,,,,,
Upper Washita River WS SCS Site 31 Dam,,,TX02500,,TX02500,HEMPHILL COUNTY;HEMPHILL COUNTY SWCD,Local Government,Local Government,0,No,USDA NRCS,No,Recreation,Recreation,Texas,TX02500,35.704322,-100.035461,Texas,Hemphill,,,HACKBERRY CREEK,"Texas, Congressional District 13",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,,,47,47,47,47,25-50 feet,2500,332970,1963,1960-1969,,6326,6326,870,40,,,,,
Kokomo Waterworks Reservoir #2 Dam,,,IN00028,,IN00028,INDIANA-AMERICAN WATER CO INC,Public Utility,Public Utility,0,No,,No,,,Indiana,34-2,40.48758596,-86.05019571,Indiana,Howard,,3,WILDCAT CREEK,"Indiana, Congressional District 05",Yes,Yes,IDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,20,20,28,28,25-50 feet,2140,,1957,1950-1959,,6320,6320,3220,322,,,,,
Salado Creek WS SCS Site 11 Dam,,,TX04760,,TX04760,ALAMO SWCD;CITY OF SAN ANTONIO;SAN ANTONIO RIVER AUTHORITY,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction,Texas,TX04760,29.603073,-98.43267,Texas,Bexar,SAN ANTONIO,6,ELM CREEK,"Texas, Congressional District 21",Yes,Yes,TCEQ,Yes,Yes,Yes,No,,,,,,,,,Yes,Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Rock;Soil,64,64,80,80,51-100 feet,1775,328639,1980,1980-1989,,6318,6318,84,17,,,,,
Big Lazer Creek Public Fishing Area Lake Dam,,,GA04770,,GA04770,"Georgia Dnr, Wildlife Resources Division Fisheries Management Section",State,State,0,No,DAM MCGILL AND ASSOC.,No,Recreation,Recreation,Georgia,130-022-04580,32.7825,-84.406111,Georgia,Talbot,ROLAND,,GUM CREEK,"Georgia, Congressional District 02",No,Yes,,No,Yes,No,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Unlisted/Unknown,49,46,,49,25-50 feet,960,,1987,1980-1989,,6308,6308,3088,193,,,,,
Abiaca Watershed Structure Y-34-06 Dam,Allen Daves,,MS01043,,MS01043,ABIACA WATERSHED DISTRICT,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction,Mississippi,MS01043,33.38162171,-90.0268876,Mississippi,Carroll,SIDON OFF TO THE WEST,10.5,COILA CREEK,"Mississippi, Congressional District 02",Yes,Yes,MS DEPARTMENT OF ENVIRONMENTAL QUALITY,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,Flood Control Act of 1944 (Public Law 78-534),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,,41,,,41,25-50 feet,1993,,1967,1960-1969,,6305,6305,776,83,,,,,
Borden Brook Reservoir Dam,,,MA00067,,MA00067,Springfield Water and Sewer Commission,Local Government,Local Government,0,No,,,Water Supply,Water Supply,Massachusetts,,42.12971134,-72.93894616,Massachusetts,Hampden,Blandford,,Borden Brook,"Massachusetts, Congressional District 01",Yes,Yes,MA DCR Office of Dam Safety,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,68,77,77,51-100 feet,650,,1909,1900-1909,2007,6300,6300,4420,214,,,,,
Two Mile Run,Justus Lake,,PA00254,,PA00254,VENANGO COUNTY,Local Government,Local Government,0,No,USDA NRCS,No,Flood Risk Reduction,Flood Risk Reduction;Recreation,Pennsylvania,D61-019,41.46611111,-79.77138889,Pennsylvania,Venango,,,TWO MILE RUN,"Pennsylvania, Congressional District 16",Yes,Yes,Pennsylvania Department of Environmental Protection,Yes,Yes,Yes,No,,Natural Resources Conservation Service,Natural Resources Conservation Service,Natural Resources Conservation Service,,Natural Resources Conservation Service,,,Yes,1962 Resource Conservation and Development Act (Public Law 87-703),Earth,Earth,Unlisted/Unknown;Unlisted/Unknown,Unlisted/Unknown,85,,,85,51-100 feet,1000,,1971,1970-1979,,6300,6300,3270,144,,,,,
Callahan Lake,,,WI00308,,WI00308,"Jenkins, Ruby",Private,Private,0,No,,,Recreation,Recreation,Wisconsin,302,45.9920003,-91.2265369,Wisconsin,Sawyer,NONE,0,NORTH FORK CHIEF RIVER,"Wisconsin, Congressional District 07",Yes,Yes,WIDNR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Gravity,Gravity;Rockfill,,,15,6,15,15,Less than 25 feet,225,,1938,1930-1939,1954O,6300,6300,3400,602,,,,,
Lake Moraine Dam,"Madison Lake, Madison Reservoir",,NY00354,,NY00354,New York State Canal Corporation,State,State,0,No,,No,Navigation,Navigation;Other;Recreation,New York,104-0753,42.84638889,-75.52694444,New York,Madison,Hamilton,2,PAYNE BROOK,"New York, Congressional District 22",Yes,Yes,NYS DEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,56,,,56,51-100 feet,800,,1836,Before 1900,,6300,6300,3765,260,,,,,
Hominy Lake,,,OK01344,,OK01344,CITY OF HOMINY,Local Government,Local Government,0,No,,No,Recreation,Recreation,Oklahoma,,36.09531,-96.414729,Oklahoma,Creek,HOMINY,1,CLAREMORE CREEK,"Oklahoma, Congressional District 03",Yes,Yes,OWRB,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Unlisted/Unknown,Soil,60,60,60,60,51-100 feet,1370,0,1956,1950-1959,,6300,6300,5000,165,,,,,
Beaver Creek Dam (Bc-20),Bc-20,,ND00415,,ND00415,Steele County WRB,Local Government,Local Government,0,No,Moore Engineering,No,Flood Risk Reduction,Flood Risk Reduction,North Dakota,,47.58454,-97.74729,North Dakota,Steele,N,0,Beaver Creek,"North Dakota, Congressional District 00",Yes,Yes,ND DWR,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,75,,75,75,51-100 feet,1476,0,1988,1980-1989,,6300,6300,50,15,,,,,
Friends Lake Dam,,,NY01514,,NY01514,FRIENDS LAKE PROPERTY ASSOCIATION,Private,Private,0,No,,No,Recreation,Recreation,New York,204-2199,43.63944444,-73.84027778,New York,Warren,Chestertown,3,TR-CHESTER CREEK,"New York, Congressional District 21",Yes,Yes,NYS DEC,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Rockfill,,,7,,,7,Less than 25 feet,300,,1954,1950-1959,,6300,6300,6300,450,,,,,
Cleveland,Cleveland Lake,Cleveland Lake,OK11046,,OK11046,TOWN OF CLEVELAND,Local Government,Local Government,0,No,NOT KNOWN,No,Water Supply,Water Supply,Oklahoma,,36.283051,-96.576049,Oklahoma,Pawnee,CLEVELAND,5,RANCH CREEK,"Oklahoma, Congressional District 03",Yes,Yes,OWRB,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Soil,58,58,58,58,51-100 feet,1150,0,1936,1930-1939,,6300,6300,2200,159,,,,,
Holden New City Reservoir,,,MO20532,,MO20532,CITY OF HOLDEN,Local Government,Local Government,0,No,E.T.ARCHER AND CO.,No,Recreation,Recreation;Water Supply,Missouri,,38.76115547,-94.0348004,Missouri,Johnson,KINGSVILLE,0,TRIB SOUTH FORK BLACKWATER,"Missouri, Congressional District 04",Yes,Yes,Dam and Reservoir Safety Program,Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,Earth,Rock,58,,58,58,51-100 feet,3350,700000,1980,1980-1989,,6300,6300,3413,380,,,,,
